name,Precision,Recall,F1 score,False Positive Rate,False Negative Rate,G-mean,Accuracy,Time,AUC
Base_SMOTE,0.0608,0.6287,0.1109,0.1035,0.3713,0.7508,0.8936,148.83,0.867
Base_ADASYN,0.0508,0.6064,0.0937,0.1208,0.3936,0.7302,0.8763,123.14,0.8399
Base_KMeansSMOTE,0.0464,0.6818,0.0869,0.1493,0.3182,0.7616,0.8489,342.64,0.8523
Base_RACOG,0.0641,0.5477,0.1147,0.0852,0.4523,0.7078,0.9109,257.8,0.8487
Base_RUS,0.0462,0.8018,0.0874,0.1762,0.1982,0.8127,0.8235,5.66,0.8903
Base_ENN,0.0575,0.4443,0.1018,0.0776,0.5557,0.6402,0.9174,48.24,0.7762
Base_TomekLinks,0.0585,0.4471,0.1035,0.0767,0.5529,0.6425,0.9183,13.01,0.7242
Base_None_SMOTE_IPF,0.0503,0.6894,0.0937,0.1388,0.3106,0.7706,0.8594,45.68,0.8634
Base_LS,0.0356,0.6728,0.0675,0.1945,0.3272,0.7362,0.8041,9.14,0.7894
Base,0.0436,0.7482,0.0825,0.1747,0.2518,0.7858,0.8244,5.87,0.8574
RF_RUS,0.1021,0.3248,0.1554,0.0304,0.6752,0.5612,0.9628,10.47,0.8188
US-SE_RUS-1-FPR_Base,0.0,0.0,0.0,0.0,1.0,0.0,0.9895,18.75,0.8051
US-SE_RUS-2-FPR_Base,0.05,0.7686,0.0939,0.1557,0.2314,0.8056,0.8435,27.63,0.8332
US-SE_RUS-3-FPR_Base,0.0447,0.8189,0.0847,0.1866,0.1811,0.8161,0.8135,38.57,0.8466
