type,name,Precision,Recall,F1 score,False Positive Rate,False Negative Rate,AUC,Train time,Test time
Base,Base,0.0955,0.4851,0.1596,0.0489,0.5149,0.8796,45.97,1.29
Oversamplers,ADASYN,0.0105,1.0,0.0209,1.0,0.0,0.4407,68.22,0.3
Oversamplers,KMeansSMOTE,0.1037,0.5311,0.1735,0.0489,0.4689,0.8917,3699.07,1.9
Oversamplers,RACOG,0.1035,0.5277,0.173,0.0487,0.4723,0.8907,5353.01,2.52
Oversamplers,SMOTE,0.0565,0.267,0.0933,0.0475,0.733,0.7028,201.6,11.57
Undersamplers,IHT,0.1012,0.522,0.1696,0.0494,0.478,0.8912,3382.47,7.04
Undersamplers,NCR,0.1042,0.5315,0.1743,0.0487,0.4685,0.8917,3219.22,1.55
Undersamplers,RUS,0.0911,0.5102,0.1546,0.0543,0.4898,0.874,54.93,1.4
Hybrid,SMOTE_IHT,0.1015,0.5092,0.1693,0.048,0.4908,0.8853,2664.83,4.3
Hybrid,SMOTE_IHT_all,0.1009,0.5111,0.1685,0.0486,0.4889,0.8857,2219.1,3.21
Hybrid,SMOTE_NCR,0.1039,0.5358,0.1741,0.0492,0.4642,0.8917,4459.91,2.72
Hybrid,SMOTE_NCR_all,0.1039,0.5358,0.1741,0.0492,0.4642,0.8917,4362.14,2.73
Hybrid,SMOTE_RUS,0.0,0.0,0.0,0.0,1.0,0.3833,6426.45,0.31
Hybrid,SMOTE_RUS_all,0.1009,0.5164,0.1688,0.0491,0.4836,0.8873,3456.29,1.85
Label Smoothing,LS,0.1043,0.5306,0.1743,0.0486,0.4694,0.8918,1263.45,4.18
